     1→     1→{
     2→     2→  "code": 200,
     3→     3→  "data": {
     4→     4→    "description": "Playbeat Digital brings you a premium live TV experience with hundreds of channels across news, sports, entertainment, and more — all in stunning quality with rock-solid stability.",
     5→     5→    "external": {
     6→     6→      "preload": {
     7→     7→        "https://playbeat.live/_next/static/chunks/8f803aaf3902c0e2.js": {
     8→     8→          "as": "script",
     9→     9→          "fetchpriority": "low"
    10→    10→        },
    11→    11→        "https://playbeat.live/_next/static/media/797e433ab948586e-s.p.29207c2f.woff2": {
    12→    12→          "as": "font",
    13→    13→          "crossorigin": "",
    14→    14→          "type": "font/woff2"
    15→    15→        },
    16→    16→        "https://playbeat.live/_next/static/media/caa3a2e1cccd8315-s.p.3b6cae6d.woff2": {
    17→    17→          "as": "font",
    18→    18→          "crossorigin": "",
    19→    19→          "type": "font/woff2"
    20→    20→        }
    21→    21→      }
    22→    22→    },
